YWG|Winnipeg / James Armstrong Richardson International Airport|49.91|-97.2399
YWK|Wabush Airport|52.9219|-66.8644
YWL|Williams Lake Airport|52.1831|-122.054
YWY|Wrigley Airport|63.2094|-123.437
YXC|Cranbrook/Canadian Rockies International Airport|49.6108|-115.782
YXE|Saskatoon John G. Diefenbaker International Airport|52.1707|-106.7008
YXH|Medicine Hat Regional Airport|50.0189|-110.721
YXJ|Fort St John / North Peace Regional Airport|56.2381|-120.74
YXK|Rimouski Airport|48.4776|-68.4963
YXL|Sioux Lookout Airport|50.1139|-91.9053
YXQ|Beaver Creek Airport|62.4103|-140.867
YXR|Earlton (Timiskaming Regional) Airport|47.6974|-79.8473
YXS|Prince George (International) Airport|53.8843|-122.6666
YXT|Northwest Regional Airport Terrace-Kitimat|54.4685|-128.576
YXU|London International Airport|43.0328|-81.149
YXX|Abbotsford International Airport|49.0253|-122.361
YXY|Whitehorse / Erik Nielsen International Airport|60.7085|-135.0657
YXZ|Wawa Airport|47.9667|-84.7867
YYB|North Bay Jack Garland Airport|46.3636|-79.4228
YYC|Calgary International Airport|51.1188|-114.0099
YYD|Smithers Airport|54.8247|-127.183
YYE|Fort Nelson Airport|58.8364|-122.597
YYF|Penticton Airport|49.4631|-119.602
YYG|Charlottetown Airport|46.2889|-63.1252
YYJ|Victoria International Airport|48.6472|-123.4278
YYL|Lynn Lake Airport|56.8639|-101.076
YYN|Swift Current Airport|50.2919|-107.691
YYQ|Churchill Airport|58.7392|-94.065
YYR|Goose Bay Airport|53.3192|-60.4258
YYT|St. John's International Airport|47.6186|-52.7519
YYU|Kapuskasing Airport|49.4116|-82.4696
YYW|Armstrong Airport|50.2903|-88.9097
YYY|Mont Joli Airport|48.6086|-68.2081
YYZ|Toronto Pearson International Airport|43.6759|-79.6294
YZE|Gore Bay Manitoulin Airport|45.8853|-82.5678
YZF|Yellowknife International Airport|62.4628|-114.44
YZH|Slave Lake Airport|55.2929|-114.7773
YZP|Sandspit Airport|53.2543|-131.814
YZR|Chris Hadfield Airport|42.9994|-82.3089
YZS|Coral Harbour Airport|64.1933|-83.3594
YZT|Port Hardy Airport|50.6806|-127.367
YZU|Whitecourt Airport|54.1439|-115.787
YZV|Sept-Îles Airport|50.2233|-66.2656
YZW|Teslin Airport|60.1728|-132.743
YZX|CFB Greenwood|44.9844|-64.9169
CYZY|Mackenzie Airport|55.2978|-123.1339
CZ-0244|Kostomlaty Airstrip|50.2084|14.9258
YSN|Shuswap Regional Airport|50.6828|-119.229
YDT|Boundary Bay Airport|49.0743|-123.0069
ZBF|Bathurst Airport|47.6297|-65.7389
ZBM|Bromont (Roland Désourdy) Airport|45.2908|-72.7414
KES|Kelsey Airport|56.0375|-96.5097
ZFA|Faro Airport|62.2075|-133.376
ZGF|Grand Forks Airport|49.0156|-118.431
ZJG|Jenpeg Airport|54.5189|-98.0461
ZJN|Swan River Airport|52.1206|-101.236
YTD|Thicket Portage Airport|55.3189|-97.7078
PIW|Pikwitonei Airport|55.5889|-97.1642
ZMT|Masset Airport|54.0275|-132.125
WPC|Pincher Creek Airport|49.5204|-113.997
ZSJ|Sandy Lake Airport|53.0642|-93.3444
